Question,Answer
What is 'summary judgment'?,"Summary judgment is a legal decision made by a court without a full trial, based on the facts that are not in dispute."
What is 'constitutional law'?,Constitutional law is the body of law that interprets and applies the principles and provisions of a constitution.
What is a 'subpoena duces tecum'?,A subpoena duces tecum is a court order requiring a person to produce documents or records for a legal proceeding.
What is a 'bench warrant'?,A bench warrant is a court order issued by a judge for the arrest of a person who has failed to appear in court.
What is 'mediation'?,Mediation is a method of dispute resolution where a neutral third party helps the disputing parties reach a mutually acceptable agreement.
What is a 'judgment' in legal terms?,A judgment is a court's final decision regarding the rights and obligations of the parties in a case.
What is 'strict liability'?,Strict liability is a legal doctrine that holds a party responsible for their actions or products without the need to prove negligence or fault.
What is a 'pleading' in a legal context?,A pleading is a formal written statement submitted by the parties in a lawsuit outlining their claims and defenses.
What is 'contributory negligence'?,Contributory negligence is a legal doctrine that reduces or eliminates a plaintiff's right to recover damages if they were partially at fault for their own injuries.
What is 'corporate veil'?,The corporate veil is a legal concept that separates the actions and liabilities of a corporation from its shareholders.
What is a 'class action'?,A class action is a lawsuit where one or more plaintiffs file a case on behalf of a larger group with similar claims.
What is 'hearsay'?,"Hearsay is an out-of-court statement offered to prove the truth of the matter asserted, generally inadmissible in court due to its lack of reliability."
What is 'res judicata'?,Res judicata is a legal principle that prevents the same parties from litigating the same issue in more than one lawsuit.
What is 'venue' in legal terms?,Venue refers to the geographic location where a legal case is tried and the court with jurisdiction over the matter.
What is 'admissible evidence'?,"Admissible evidence is any document, testimony, or tangible evidence that may be introduced in a court of law."
What is 'breach of duty'?,Breach of duty is the failure to fulfill one's obligations or standard of care in a legal duty.
What is 'dissolution' in the context of business law?,Dissolution is the process of legally closing or ending a business entity.
What is 'alternative dispute resolution' (ADR)?,"Alternative dispute resolution (ADR) encompasses various methods, such as mediation and arbitration, used to resolve disputes outside the traditional court system."
What is a 'writ of execution'?,"A writ of execution is a court order authorizing the enforcement of a judgment, typically involving the seizure of property to satisfy a debt."
What is 'jurisprudence'?,Jurisprudence is the theory or philosophy of law and the study of legal systems and principles.
What is 'prosecutorial discretion'?,"Prosecutorial discretion is the authority of a prosecutor to decide whether to bring charges, what charges to bring, and how to pursue a case."
What is 'restitution'?,"Restitution is the act of restoring or compensating for loss or damage caused by one's actions, often ordered by a court as part of a criminal sentence."
What is 'immunity' in legal terms?,Immunity is a legal status that protects individuals or entities from being sued or prosecuted under certain conditions.
